id,x,y
840170311016,215,255
840170310022,365,345
840170314201,250,65
840170310076,250,290
840170317002,275,90
840170314007,210,90
840170314002,225,180
840170311601,210,350
840170310032,370,345
840170310001,280,390
840170311003,190,110
